2	0.001
3	0.002
4	0.003
5	0.004
6	0.006
7	0.008
8	0.011
9	0.014
10	0.017
11	0.021
12	0.024
13	0.028
14	0.032
15	0.038
16	0.043
17	0.048
18	0.054
19	0.061
20	0.068
21	0.074
22	0.08
23	0.086
24	0.094
25	0.105
26	0.108
27	0.119
28	0.126
29	0.137
30	0.147
31	0.156
32	0.167
33	0.178
34	0.185
35	0.199
36	0.206
37	0.22
38	0.232
39	0.243
40	0.313
41	0.274
42	0.282
43	0.296
44	0.307
45	0.328
46	0.343
47	0.353
48	0.369
49	0.384
50	0.399
51	0.421
52	0.429
53	0.448
54	0.469
55	0.488
56	0.502
57	0.522
58	0.537
59	0.558
60	0.583
61	0.596
62	0.622
63	0.637
64	0.661
65	0.678
66	0.703
67	0.726
68	0.747
69	0.766
70	0.792
71	0.812
72	0.846
73	0.858
74	0.884
75	0.905
76	0.938
77	0.96
78	0.988
79	1.017
80	1.05
81	1.08
82	1.111
83	1.132
84	1.16
85	1.2
86	1.199
87	1.263
88	1.29
89	1.322
90	1.351
91	1.376
92	1.41
93	1.442
94	1.481
95	1.5
96	1.541
97	1.566
98	1.612
99	1.647
100	1.682
101	1.716
102	1.75
103	1.79
104	1.826
105	1.869
106	1.904
107	1.94
108	1.975
109	2.012
110	2.062
111	2.086
112	2.144
113	2.18
114	2.22
115	2.272
116	2.295
117	2.347
118	2.377
119	2.423
120	2.465
121	2.51
122	2.558
123	2.601
124	2.646
125	2.697
126	2.733
127	2.783
128	2.828
129	2.887
130	2.943
131	2.975
132	3.017
133	3.074
134	3.123
135	3.175
136	3.226
137	3.272
138	3.335
139	3.367
140	3.42
141	3.49
142	3.536
143	3.574
144	3.658
145	3.693
146	3.75
147	3.793
148	3.857
149	3.909
150	3.951
151	4.015
152	4.083
153	4.16
154	4.213
155	4.262
156	4.334
157	4.366
158	4.421
159	4.488
160	4.571
161	4.615
162	4.695
163	4.759
164	4.786
165	4.867
166	4.935
167	5.05
168	5.056
169	5.124
170	5.191
171	5.24
172	5.311
173	5.383
174	5.451
175	5.533
176	5.572
177	5.648
178	5.697
179	5.783
180	5.837
181	5.921
182	5.986
183	6.059
184	6.102
185	6.22
186	6.265
187	6.334
188	6.404
189	6.465
190	6.544
191	6.626
192	6.676
193	6.771
194	6.84
195	6.906
196	7.014
197	7.067
198	7.152
199	7.233
200	7.345
201	7.411
202	7.467
203	7.561
204	7.665
205	7.711
206	7.801
207	7.869
208	7.976
209	8.042
210	8.134
211	8.201
212	8.314
213	8.391
214	8.493
215	8.566
216	8.613
217	8.727
218	8.816
219	8.899
220	9.015
221	9.093
222	9.159
223	9.246
224	9.328
225	9.633
226	9.513
227	9.595
228	9.728
229	9.763
230	9.84
231	9.966
232	10.075
233	10.164
234	10.242
235	10.342
236	10.453
237	10.537
238	10.639
239	10.7
240	10.847
241	10.897
242	10.994
243	11.087
244	11.187
245	11.277
246	11.409
247	11.499
248	11.629
249	11.731
250	11.813
251	11.93
252	12.017
253	12.08
254	12.191
255	12.316
256	12.393
257	12.472
258	12.604
259	12.724
260	12.851
261	12.911
262	13.062
263	13.115
264	13.228
265	13.339
266	13.439
267	13.554
268	13.657
269	13.767
270	13.895
271	14.031
272	14.119
273	14.245
274	14.359
275	14.448
276	14.661
277	14.686
278	14.774
279	14.895
280	15.029
281	15.147
282	15.268
283	15.388
284	15.489
285	15.577
286	15.679
287	15.827
288	15.915
289	16.026
290	16.164
291	16.301
292	16.432
293	16.483
294	16.705
295	16.788
296	16.875
297	16.997
298	17.15
299	17.216
300	17.405
301	17.475
302	17.633
303	17.779
304	17.855
305	17.968
306	18.131
307	18.213
308	18.906
309	19.205
310	19.432
311	19.485
312	19.665
313	19.838
314	19.957
315	20.042
316	20.299
317	20.429
318	20.475
319	20.631
320	20.722
321	20.927
322	21.011
323	21.174
324	21.277
325	21.431
326	21.581
327	21.749
328	21.917
329	22.001
330	22.151
331	22.296
332	22.438
333	22.595
334	22.801
335	22.865
336	22.953
337	23.22
338	23.271
339	23.508
340	23.596
341	23.785
342	23.878
343	24.13
344	24.247
345	24.348
346	24.543
347	24.697
348	24.876
349	24.957
350	25.276
351	25.377
352	25.389
353	25.607
354	25.798
355	25.851
356	26.088
357	26.364
358	26.441
359	26.586
360	26.765
361	26.877
362	27.068
363	27.216
364	27.456
365	27.596
366	27.766
367	27.913
368	28.054
369	28.216
370	28.443
371	28.557
372	28.792
373	28.934
374	29.089
375	29.227
376	29.378
377	29.476
378	29.74
379	29.884
380	30.097
381	30.232
382	30.433
383	30.629
384	30.755
385	30.863
386	31.029
387	31.286
388	31.448
389	31.665
390	31.851
391	31.903
392	32.311
393	32.289
394	32.508
395	32.681
396	32.742
397	33.103
398	33.275
399	33.363
400	33.519
401	33.793
402	33.869
403	34.152
404	34.236
405	34.565
406	34.648
407	34.856
408	35.066
409	35.26
410	35.403
411	35.582
412	35.845
413	36.098
414	36.249
415	36.371
416	36.611
417	36.672
418	36.916
419	37.119
420	37.495
421	37.457
422	37.729
423	38.072
424	38.017
425	38.353
426	38.584
427	38.673
428	38.962
429	39.142
430	39.266
431	39.533
432	39.603
433	39.902
434	40.166
435	40.243
436	40.497
437	40.759
438	40.875
439	41.032
440	41.2
441	41.619
442	41.677
443	41.839
444	42.049
445	42.335
446	42.611
447	42.701
448	42.891
449	43.094
450	43.44
451	43.939
452	43.709
453	44.069
454	44.292
455	44.616
456	44.705
457	44.946
458	45.203
459	45.472
460	45.608
461	45.79
462	45.902
463	46.176
464	46.419
465	46.85
466	47.203
467	47.091
